Galaxy,Halpha Region,t_2,t_2_err,t_3,t_3_err,O+/H+,O+/H+_err,O++/H+,O++/H+_err,O/H,O/H_err,12 + log(O/H),12 + log(O/H)_err,N+/H+,N+/H+_err,log(N/O),log(N/O)_err,N/H,N/H_err,log(M_star),log(M_star)_err,[OII]3727,u_[OII]3727,HeI3820,u_HeI3820,H93835,u_H93835,[NeIII]3868,u_[NeIII]3868,HeI+H83889,u_HeI+H83889,[NeIII]+H73968,u_[NeIII]+H73968,HeI4026,u_HeI4026,[SII]4068,u_[SII]4068,Hdelta,u_Hdelta,Hgamma,u_Hgamma,[OIII]4363,u_[OIII]4363,HeI4471,u_HeI4471,[FeIII]4658,u_[FeIII]4658,HeII4686,u_HeII4686,Hbeta,u_Hbeta,[OIII]4959,u_[OIII]4959,[OIII]5007,u_[OIII]5007,[NI]5199,u_[NI]5199,HeI5876,u_HeI5876,[OI]6300,u_[OI]6300,[SIII]6312,u_[SIII]6312,[OI]6363,u_[OI]6363,[NII]6548,u_[NII]6548,Halpha,u_Halpha,[NII]6584,u_[NII]6584,HeI6678,u_HeI6678,[SII]6717,u_[SII]6717,[SII]6731,u_[SII]6731,c(Hbeta),u_c(Hbeta),F(Hbeta),u_F(Hbeta),EW(Hbeta),EW(Halpha)
CGCG 269-049,A,14400.0,500.0,17100.0,500.0,1.0,0.11,1.95,0.11,2.96,0.16,7.47,0.02,0.2,0.02,-1.57,0.03,0.8,0.08,5.9,0.36,1.02,0.02,,,0.09,0.02,0.2,0.02,0.16,0.02,0.44,0.01,,,,,0.26,0.01,0.46,0.01,0.062,0.003,0.03,0.003,,,,,1.0,0.02,0.84,0.02,2.51,0.05,,,0.097,0.003,0.008,0.003,0.012,0.003,0.003,0.001,0.01,0.001,2.83,0.06,0.033,0.003,0.024,0.002,0.064,0.002,0.046,0.002,0.08,0.01,29.1,0.6,81.3,434.0
IC 559,A,12000.0,1400.0,11500.0,1300.0,5.63,2.31,6.18,2.02,11.81,3.07,8.07,0.1,1.74,0.46,-1.47,0.05,3.97,1.13,7.86,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 2537,A,10900.0,600.0,9700.0,500.0,8.85,1.94,8.56,1.6,17.4,2.5,8.24,0.06,7.4,0.99,-1.07,0.02,14.8,2.25,9.1,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 2537,B,11800.0,900.0,11200.0,900.0,5.26,1.48,4.23,0.96,9.49,1.76,7.98,0.07,5.13,0.88,-1.0,0.02,9.41,1.82,9.1,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 2552,A,11400.0,500.0,10400.0,500.0,5.27,0.88,8.93,1.23,14.19,1.52,8.15,0.04,3.57,0.37,-1.16,0.02,9.68,1.1,8.69,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 3738,A,12100.0,900.0,11800.0,800.0,4.98,1.27,6.0,1.21,10.98,1.76,8.04,0.06,2.31,0.36,-1.33,0.02,5.14,0.86,8.5,0.7,2.91,0.06,,,,,0.28,0.01,0.11,0.01,0.39,0.01,,,,,0.23,0.01,0.47,0.01,0.031,0.006,0.03,0.01,,,,,1.0,0.02,0.98,0.02,2.96,0.06,0.011,0.005,0.12,0.01,0.05,0.01,0.02,0.01,0.02,0.01,0.06,0.01,2.83,0.06,0.19,0.01,0.03,0.01,0.32,0.01,0.23,0.01,0.04,0.01,58.7,1.2,35.2,183.0
NGC 3738,B,12500.0,1400.0,12500.0,1400.0,5.36,2.15,5.39,1.67,10.75,2.72,8.03,0.1,2.23,0.55,-1.37,0.03,4.57,1.21,8.5,0.7,3.45,0.07,,,,,0.31,0.04,0.32,0.04,0.24,0.04,,,,,0.24,0.02,0.45,0.01,0.04,0.01,,,,,,,1.0,0.02,1.03,0.02,3.11,0.06,,,0.15,0.02,0.06,0.01,,,0.02,0.01,0.06,0.01,2.82,0.06,0.2,0.01,,,0.29,0.01,0.21,0.01,0.19,0.01,24.8,0.5,23.4,121.0
NGC 3741,A,13700.0,500.0,15200.0,400.0,1.81,0.21,2.93,0.2,4.74,0.29,7.68,0.03,0.42,0.04,-1.61,0.03,1.15,0.1,7.05,0.4,1.6,0.03,,,,,0.24,0.01,0.21,0.01,0.49,0.01,,,,,0.25,0.01,0.46,0.01,0.06,0.01,0.026,0.003,,,,,1.0,0.02,0.94,0.02,2.84,0.06,,,0.097,0.003,0.022,0.002,0.018,0.002,0.004,0.002,0.017,0.003,2.83,0.06,0.051,0.003,0.026,0.002,0.122,0.002,0.088,0.002,0.1,0.01,45.0,0.9,59.9,330.0
NGC 4163,A,14800.0,2000.0,18200.0,2500.0,3.28,1.34,0.34,0.09,3.62,1.34,7.56,0.14,1.0,0.3,-1.49,0.06,1.17,0.47,7.61,0.35,3.72,0.07,,,,,,,,,,,,,,,0.17,0.03,0.31,0.04,0.014,0.003,,,,,,,1.0,0.02,0.18,0.02,0.49,0.02,,,0.1,0.02,0.07,0.02,,,,,0.04,0.02,2.75,0.06,0.13,0.02,,,0.35,0.02,0.23,0.02,0.1,0.01,5.24,0.12,9.21,40.9
NGC 4449,C,11500.0,900.0,10600.0,800.0,6.92,1.99,6.69,1.59,13.62,2.54,8.13,0.07,3.16,0.55,-1.33,0.02,6.3,1.22,9.25,0.48,3.26,0.07,,,0.04,0.01,0.19,0.01,0.17,0.01,0.19,0.01,,,,,0.26,0.01,0.45,0.01,0.018,0.004,,,,,,,1.0,0.02,0.77,0.02,2.33,0.05,0.017,0.003,0.12,0.01,0.071,0.004,0.014,0.004,0.024,0.004,0.074,0.003,2.84,0.06,0.23,0.01,0.02,0.003,0.35,0.01,0.25,0.01,0.14,0.01,54.8,1.1,119.0,437.0
NGC 4449,B,11300.0,600.0,10400.0,600.0,6.73,1.44,7.79,1.39,14.52,2.0,8.16,0.06,2.96,0.39,-1.36,0.02,6.3,0.91,9.25,0.48,3.04,0.07,,,0.05,0.01,0.19,0.01,0.19,0.01,0.19,0.01,,,,,0.25,0.01,0.48,0.01,0.018,0.003,0.032,0.003,,,,,1.0,0.02,0.84,0.02,2.54,0.05,0.013,0.002,0.106,0.002,0.05,0.002,0.012,0.002,0.015,0.002,0.074,0.002,2.86,0.06,0.205,0.004,0.025,0.002,0.28,0.01,0.2,0.01,0.21,0.01,64.4,1.3,119.0,587.0
NGC 4449,A,10800.0,500.0,9600.0,200.0,6.36,1.16,14.5,1.08,20.87,1.59,8.32,0.03,2.5,0.28,-1.39,0.02,8.5,0.73,9.25,0.48,2.39,0.05,0.008,0.004,0.062,0.004,0.23,0.01,0.167,0.004,0.187,0.004,0.016,0.001,0.014,0.001,0.26,0.01,0.47,0.01,0.019,0.001,0.039,0.001,,,,,1.0,0.02,1.15,0.02,3.46,0.07,0.006,0.001,0.115,0.002,0.028,0.001,0.014,0.001,0.009,0.001,0.048,0.001,2.83,0.06,0.163,0.003,0.029,0.001,0.18,0.01,0.13,0.01,0.09,0.01,567.0,11.0,239.0,851.0
NGC 4656,A,12600.0,700.0,12700.0,700.0,1.2,0.22,11.03,1.53,12.23,1.55,8.09,0.05,0.27,0.11,-1.66,0.14,2.66,1.1,9.04,0.61,0.8,0.03,,,0.08,0.02,0.5,0.02,0.19,0.02,0.29,0.02,,,,,0.25,0.02,0.45,0.01,0.09,0.01,,,,,,,1.0,0.02,2.29,0.05,6.71,0.13,,,,,0.02,0.01,0.03,0.01,0.01,0.01,0.009,0.009,2.86,0.06,0.023,0.009,,,0.07,0.01,0.04,0.01,0.24,0.01,43.4,0.9,171.0,1141.0
NGC 5477,A,12800.0,500.0,13000.0,200.0,1.89,0.25,7.1,0.3,8.99,0.39,7.95,0.02,0.5,0.04,-1.56,0.02,2.45,0.14,8.15,0.61,1.31,0.05,,,0.06,0.01,0.33,0.01,0.23,0.01,0.33,0.01,,,,,0.28,0.02,0.47,0.02,0.06,0.01,,,,,,,1.0,0.02,1.55,0.03,4.64,0.1,,,0.11,0.01,0.01,0.01,0.02,0.01,0.05,0.01,0.015,0.004,2.84,0.11,0.047,0.001,0.028,0.001,0.079,0.002,0.059,0.001,0.09,0.01,78.0,1.6,177.0,879.0
NGC 784,B,12900.0,600.0,13400.0,700.0,3.57,0.59,4.7,0.58,8.27,0.83,7.92,0.04,0.78,0.08,-1.63,0.02,1.94,0.22,8.48,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 784,A,12500.0,500.0,12400.0,500.0,3.41,0.48,7.2,0.78,10.61,0.91,8.03,0.04,1.24,0.11,-1.44,0.02,3.87,0.36,8.48,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 1056,A,13000.0,2500.0,13500.0,2600.0,4.5,2.89,3.26,1.56,7.75,3.29,7.89,0.15,1.48,0.59,-1.48,0.05,2.57,1.14,8.62,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 1056,B,12600.0,900.0,12700.0,900.0,4.23,1.06,5.43,1.04,9.66,1.49,7.98,0.06,1.34,0.21,-1.49,0.03,3.16,0.52,8.62,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 1176,A,12600.0,500.0,12800.0,500.0,3.4,0.47,5.91,0.59,9.31,0.75,7.97,0.03,1.29,0.11,-1.4,0.02,3.73,0.34,8.48,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 2716,A,12800.0,500.0,13100.0,500.0,2.96,0.42,6.41,0.7,9.37,0.82,7.97,0.04,0.99,0.09,-1.47,0.02,3.14,0.31,8.13,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 4278,B,13300.0,1000.0,14200.0,1000.0,2.53,0.61,2.32,0.41,4.85,0.73,7.69,0.06,0.57,0.09,-1.63,0.03,1.11,0.2,8.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 4278,A,13500.0,600.0,14600.0,600.0,2.01,0.27,2.86,0.28,4.87,0.38,7.69,0.03,0.52,0.05,-1.58,0.03,1.27,0.13,8.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 4393,B,12100.0,1000.0,11700.0,1000.0,4.55,1.36,6.92,1.64,11.5,0.2,8.06,0.07,3.63,0.66,-1.09,0.02,9.39,1.82,9.43,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 4393,C,12800.0,800.0,13100.0,800.0,5.8,1.22,3.92,0.63,9.72,1.37,7.99,0.06,3.25,0.42,-1.24,0.02,5.55,0.82,9.43,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 5139,A,12800.0,800.0,13000.0,800.0,2.7,0.6,5.65,0.95,8.35,1.13,7.92,0.05,0.72,0.12,-1.56,0.05,2.3,0.41,7.39,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 521,A,14200.0,900.0,16500.0,1100.0,1.59,0.32,3.05,0.42,4.64,0.53,7.67,0.05,0.29,0.06,-1.61,0.07,1.15,0.25,7.96,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 5272,A,13300.0,500.0,14100.0,200.0,1.34,0.17,6.12,0.22,7.46,0.27,7.87,0.02,0.34,0.03,-1.59,0.02,1.92,0.12,8.0,0.64,1.06,0.02,0.014,0.002,0.084,0.002,0.375,0.007,0.197,0.004,0.194,0.004,0.015,0.003,,,0.26,0.01,0.46,0.01,0.083,0.002,0.036,0.002,,,,,1.0,0.02,1.66,0.03,4.94,0.1,,,0.101,0.001,0.013,0.001,0.02,0.001,0.004,0.001,0.01,0.001,2.83,0.06,0.035,0.001,0.029,0.002,0.079,0.002,0.055,0.002,0.08,0.01,101.0,2.0,201.0,943.0
UGC 5340,A,15200.0,1200.0,19400.0,1500.0,0.47,0.11,1.12,0.16,1.59,0.19,7.2,0.05,0.09,0.02,-1.6,0.08,0.4,0.09,7.97,0.45,0.58,0.02,,,0.05,0.01,0.16,0.01,0.17,0.01,0.47,0.01,,,,,0.25,0.01,0.47,0.01,0.06,0.01,0.04,0.01,,,0.024,0.002,1.0,0.02,0.64,0.01,1.89,0.04,,,0.09,0.01,,,,,,,,,2.81,0.06,0.016,0.003,0.023,0.007,0.05,0.007,0.05,0.007,0.0,0.01,13.6,0.27,99.2,549.0
